Tuition and fees,Rank
45320,1
47074,2
52491,3
49480,3
55056,5
47940,5
48452,7
51265,8
51464,8
50410,10
51438,11
47577,12
50855,12
51367,14
50953,15
43918,15
49685,15
45610,15
49770,19
47954,20
50547,20
40191,20
52217,23
52040,24
39518,24
45066,24
52430,27
43476,27
49308,27
33916,30
51296,31
41718,32
50142,32
51570,34
32404,34
49062,36
46006,37
40704,37
50240,39
47655,39
50797,39
51010,39
39458,39
48320,44
40728,44
41387,44
31320,44
47004,44
32738,44
50022,50
28666,50
49280,50
32382,50
29229,54
34791,54
51950,56
50358,56
29844,56
34676,56
47317,60
28804,60
45022,60
35858,60
32045,60
46994,60
32796,66
40670,66
5300,68
29758,68
30023,70
42006,71
48838,71
22210,71
44853,74
43150,74
28768,74
30123,74
29371,74
31592,79
40241,79
31420,79
34828,82
39090,82
42670,82
28413,82
22164,86
34246,86
38470,86
46362,86
46140,86
38796,86
24673,92
26399,92
35079,92
40364,92
51030,96
40726,96
26266,96
28840,99
41384,99
17620,99
26270,99
45214,103
26950,103
33442,103
30858,103
38568,107
31424,107
44494,107
31282,107
21483,111
40940,111
25892,111
23148,111
21451,111
44588,111
27039,111
30968,118
39258,118
25994,118
40263,118
25932,118
39594,118
42536,124
37626,124
35062,124
24908,124
30025,124
25458,129
46132,129
28374,129
45535,129
42160,133
26334,133
23429,135
27005,135
35130,135
30326,135
29480,135
23168,135
26334,135
22012,135
32582,143
28846,143
25673,143
34034,146
21208,146
18244,146
31880,146
22244,146
33654,146
20886,152
35210,152
20978,152
39944,152
26526,152
39900,152
29125,152
38940,159
17654,159
24492,159
28852,159
17325,159
36696,164
27958,164
26152,164
39460,164
31608,164
30420,169
33764,169
27530,171
40446,171
22040,171
24626,171
16215,171
25428,176
29756,176
20142,176
20318,176
22861,176
22467,176
21302,176
27684,183
36120,183
29498,183
21432,183
42870,183
18376,188
19790,188
42772,188
28250,188
35578,188
37790,188
18332,194
25410,194
25713,194
29791,197
25750,197
20622,197
29334,197
21052,197
17596,202
23670,202
25851,202
11403,202
22469,202
20193,202
18899,202
11688,202
22904,210
23042,210
27028,210
22714,210
20392,214
26180,214
23799,214
27660,214
27130,214
24562,214
32170,220
17209,220
29850,220
21234,220
31322,220
24800,220
32023,220
19270,220
26277,220
21595,220
16094,220
19772,220
